E_min,E_max,t_min,t_max,mean_2d,max_2d,min_2d,mean_1d,std_1d,q50_1d,q90_1d,q99_1d,sigma_1d,sigma2_1d,sigma3_1d
500,1500,0.0,0.25,"(0.0008458718377723443, 0.00018415159497691975)","(0, 0)","(0, 0)",0.2527685073478662,0.28824615046361834,0.17526313563261375,0.6695131563506148,1.4167315369062339,0.2966276202442077,0.9373238229293144,1.7264769005343765
0.0,3500.0,0.0,0.083,"(0.0005839112240997196, 7.642471532220384e-5)","(0, 0)","(0, 0)",0.1685393057620743,0.25909536223324403,0.11559841022343424,0.6318238808303273,1.4023612198052329,0.22937222940968574,0.9120386102644877,1.7187646883205743
1500,2500,0.0,0.25,"(0.0006529831954066984, 5.072116398351793e-5)","(0, 0)","(0, 0)",0.22471653253367255,0.24601692073668738,0.16624463689550403,0.5776537300156225,1.1958951447572392,0.27396610240479286,0.7899869194522319,1.5200628603520556
0.0,3500.0,0.083,0.166,"(0.0006983264487594184, 9.616025838067481e-5)","(0, 0)","(0, 0)",0.2645750676124266,0.27636978934367334,0.16262340685678198,0.620069331979962,1.3619505121540385,0.2682160499277609,0.88043779663097,1.6900604453457098
2500,3500,0.0,0.25,"(0.00011493239769000165, 0.00033953925237914414)","(0, 0)","(0, 0)",0.154960009030921,0.15752870677410458,0.1290708758795105,0.3825824991793443,0.7483945376257778,0.2008566040042669,0.5059908591561957,0.9766590743690368
0.0,3500.0,0.166,0.249,"(0.0007591768744111783, 0.0001300185561892866)","(0, 0)","(0, 0)",0.32196814752072705,0.2794590634394485,0.22361679329924655,0.6665428504567189,1.38146400168844,0.33878367128556874,0.9106790034188368,1.704461432387775
