E_min,E_max,t_min,t_max,mean_2d,max_2d,min_2d,mean_1d,std_1d,q50_1d,q90_1d,q99_1d,sigma_1d,sigma2_1d,sigma3_1d
500,1500,0.0,0.25,"(8.477037143720295e-5, 0.00019398543014476945)","(0, 0)","(0, 0)",0.253642810423354,0.2882235899016691,0.1764085124533595,0.669695424185962,1.4158746078707212,0.29805469754195024,0.936792419131805,1.7259751837659847
0.0,3500.0,0.0,0.083,"(-0.00014773168502267496, 9.134424079133885e-5)","(0, 0)","(0, 0)",0.16961117385164845,0.25905995425096395,0.1165246549884311,0.6292156365971288,1.400246984137621,0.22969309139071517,0.9090920794874741,1.7175446652655788
1500,2500,0.0,0.25,"(-0.00010138876003170631, 5.103063883791791e-5)","(0, 0)","(0, 0)",0.22608002753892933,0.24680323078243363,0.1674224406245107,0.5791866939197832,1.1999648658146067,0.2754588796324892,0.7919873962210167,1.525142493255536
0.0,3500.0,0.083,0.166,"(-7.617607579748958e-5, 8.062972885124981e-5)","(0, 0)","(0, 0)",0.2662565051118311,0.2767128557804,0.1645113534222054,0.6216219183025243,1.3636121112104869,0.27077334143903653,0.881893797137725,1.6917295779235153
2500,3500,0.0,0.25,"(-0.000302869117353382, 0.0003897722783873162)","(0, 0)","(0, 0)",0.15583826642853013,0.15877152246473544,0.1295797995704243,0.38404707741031646,0.7555049924306971,0.20166237090498274,0.5083963077942762,0.9912548193777164
0.0,3500.0,0.166,0.249,"(6.259144799717244e-5, 0.00013716571837891093)","(0, 0)","(0, 0)",0.3237856862642009,0.28015694472105185,0.22551541918483864,0.6692837169957027,1.3844223849231312,0.34098012785331105,0.9136648338629538,1.706437741949262
