E_min,E_max,t_min,t_max,mean_2d,max_2d,min_2d,mean_1d,std_1d,q50_1d,q90_1d,q99_1d,sigma_1d,sigma2_1d,sigma3_1d
500,1500,0.0,0.25,"(-0.0005736872274332702, -0.00017096639228143438)",74293.0,0.0,0.25332713236969645,0.28762512503155047,0.17617400617237639,0.6687583960545445,1.4083516483516503,0.2987216892842605,0.9351394291536209,1.7219584309622575
0.0,3500.0,0.0,0.083,"(0.0009880529964504262, 0.0009238142567431262)",95542.0,0.0,0.16933775242765728,0.25852318365817134,0.11661868912917013,0.6322619465476604,1.3862741312741325,0.22967607405495147,0.9088333850375938,1.715983949445131
1500,2500,0.0,0.25,"(-0.0006757028070743875, 3.7978612107227875e-5)",37666.0,0.0,0.22714828813052101,0.24820210222421946,0.16768720651249272,0.5817298347910593,1.206219351049772,0.27582885542345525,0.8010071953999921,1.5212109461299947
0.0,3500.0,0.083,0.166,"(-0.0021207509851010305, -0.0009012610977209239)",36006.0,0.0,0.26593218613175845,0.27638726774894146,0.16421440982784719,0.6213470376043883,1.363006871090144,0.2699191100549839,0.8821421909879956,1.6843359754136282
2500,3500,0.0,0.25,"(0.00236869335394512, -3.7400421378075066e-5)",6024.0,0.0,0.15443969111126696,0.1577097104747352,0.12788910745020898,0.3834907097167225,0.7527520098948675,0.20007219367041362,0.5132773272174762,0.9403011068079556
0.0,3500.0,0.166,0.249,"(0.0001980648776468434, 2.137390765972879e-5)",15115.0,0.0,0.32518825416146185,0.2811284057393256,0.22684661270523246,0.6717896289777802,1.3788618524332796,0.3430087318089785,0.9200297087844006,1.704308242796197
